"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","avers001","Avery","Steve","L","L","ATL","P"
"2","bellm001","Bell","Mike","L","L","ATL","1B"
"3","berrg001","Berroa","Geronimo","R","R","ATL","OF"
"4","blauj001","Blauser","Jeff","R","R","ATL","SS"
"5","boevj001","Boever","Joe","R","R","ATL","P"
"6","cabrf001","Cabrera","Francisco","R","R","ATL","1B"
"7","castt001","Castillo","Tony","L","L","ATL","P"
"8","clarm001","Clary","Marty","R","R","ATL","P"
"9","davij001","Davis","Jody","R","R","ATL","1B"
"10","esasn001","Esasky","Nick","R","R","ATL","1B"
"11","freem001","Freeman","Marvin","R","R","ATL","P"
"12","gantr001","Gant","Ron","R","R","ATL","OF"
"13","glavt001","Glavine","Tom","L","L","ATL","P"
"14","granm001","Grant","Mark","R","R","ATL","P"
"15","greet001","Greene","Tommy","R","R","ATL","P"
"16","gregt001","Gregg","Tommy","L","L","ATL","1B"
"17","henrd001","Henry","Dwayne","R","R","ATL","P"
"18","heskj001","Hesketh","Joe","L","L","ATL","P"
"19","infaa001","Infante","Alexis","R","R","ATL","2B"
"20","justd001","Justice","David","L","L","ATL","1B"
"21","kerfc001","Kerfeld","Charlie","R","R","ATL","P"
"22","kremj001","Kremers","Jimmy","L","R","ATL","C"
"23","leibc001","Leibrandt","Charlie","R","L","ATL","P"
"24","lemkm001","Lemke","Mark","B","R","ATL","3B"
"25","lilld001","Lilliquist","Derek","L","L","ATL","P"
"26","luecr001","Luecken","Rick","R","R","ATL","P"
"27","mannk001","Mann","Kelly","R","R","ATL","C"
"28","marap001","Marak","Paul","R","R","ATL","P"
"29","mcdoo001","McDowell","Oddibe","L","L","ATL","OF"
"30","merck001","Mercker","Kent","L","L","ATL","P"
"31","murpd001","Murphy","Dale","R","R","ATL","OF"
"32","olsog002","Olson","Greg","R","R","ATL","C"
"33","parrj001","Parrett","Jeff","R","R","ATL","P"
"34","presj001","Presley","Jim","R","R","ATL","3B"
"35","richr002","Richards","Rusty","L","R","ATL","P"
"36","rosav001","Rosario","Victor","R","R","ATL","SS"
"37","siskd001","Sisk","Doug","R","R","ATL","P"
"38","smitl002","Smith","Lonnie","R","R","ATL","OF"
"39","smitp001","Smith","Pete","R","R","ATL","P"
"40","smolj001","Smoltz","John","R","R","ATL","P"
"41","stanm003","Stanton","Mike","L","L","ATL","P"
"42","thoma001","Thomas","Andres","R","R","ATL","SS"
"43","treaj001","Treadway","Jeff","L","R","ATL","2B"
"44","valds001","Valdez","Sergio","R","R","ATL","P"
"45","vatcj001","Vatcher","Jim","R","R","ATL","OF"
"46","white002","Whitt","Ernie","L","R","ATL","C"
